PARSE_DATE;PARSE_TIME;CLASS;DIRECTION;DEPARTURE;RETURN;CARRIER_FW;CARRIER_BW;FLIGHTS;DIRECT;CHANNEL;AGENT;FICS;FARE;TAXES;COM %;COM ABS;T%;DIS/MAR;NF%;NC%;NT%;SALE;LDIFF;MAX DIFF;NEED DIFF%;NEED DIFF;NNF%;NNC%;NNT%;FAKE/NO FARE;HIDDEN;OTA1;OTA2;OTA3;OTA1N;OTA2N;OTA3N;COUNT;MDM_MARKUP;PMODE;POS_OFFER;CARRIER_FW_VALID;CARRIER_BW_VALID;FLIGHTNUMBERS;OTT_PLACE;OTT_PRICE
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;U6;U6;U60079-U60080;1;skyscanner;vip-service-avl_sabre;WPRRT-WPRRT;1030;2100;0;0;0;-225;-21.84;0;-7.75;2905;0;100;10;0;;;;OK;0;OneTwoTrip;Biletix.ru;Svyaznoy Travel;2905;2974;3021;1;;auto;1;;;0079-0080;1;2905
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;U6;U6;U60091-U60080;1;skyscanner;vip-service-avl_sabre;WPRRT-WPRRT;1030;2100;0;0;0;-225;-21.84;0;-7.75;2905;0;100;10;0;;;;OK;0;OneTwoTrip;Biletix.ru;Svyaznoy Travel;2905;2974;3021;1;;auto;2;;;0091-0080;1;2905
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;N4;N4;N40167-N40148;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;Kupibilet;Sindbad;ozon.travel;2970;2981;3035;1;;auto;3;;;0167-0148;;
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;IK;IK;IK8167-IK8148;1;skyscanner;white-travel_sirena;OSALE-OSALE;2400;540;1.69;41;0.01;33;3.06;180.79;2.47;2973;0;100;10;0;;;;OK;0;OneTwoTrip;ozon.travel;;2973;3035;;1;;auto;4;;;8167-8148;1;2973
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;SU;U6;SU6012-U60080;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;ozon.travel;Tickets.ru;Svyaznoy Travel;3165;3194;3220;1;;auto;5;;;6012-0080;;
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;SU;U6;SU6016-U60080;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;ozon.travel;Tickets.ru;Svyaznoy Travel;3165;3194;3220;1;;auto;6;;;6016-0080;;
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;U6;SU;U60079-SU6011;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;ozon.travel;Tickets.ru;Svyaznoy Travel;3165;3194;3220;1;;auto;7;;;0079-6011;;
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;U6;SU;U60079-SU6015;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;ozon.travel;Tickets.ru;Svyaznoy Travel;3165;3194;3220;1;;auto;8;;;0079-6015;;
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;U6;SU;U60079-SU6027;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;ozon.travel;Tickets.ru;Svyaznoy Travel;3165;3194;3220;1;;auto;9;;;0079-6027;;
2017/03/01;06:28:23;E;MOW-LED;2017-02-15;2017-03-15;U6;SU;U60079-SU6013;1;skyscanner;;;;;;;;;;;;;;;;;;;;;;ozon.travel;Tickets.ru;Svyaznoy Travel;3165;3194;3220;1;;auto;10;;;0079-6013;;
